tic,cik,permno
tx,0001342874,91125
wu,0001365135,91461
iac,0001800227,80092
dds,0000028917,49429
ayi,0001144215,89216
faf,0001472787,93374
cae,0001173382,89462
rh,0001528849,86187
rh,0001528849,13687
lstr,0000853816,78981
ingr,0001046257,44792
ingr,0001046257,85645
cc,0001627223,47669
au,0001067428,75111
au,0001067428,79899
au,0001067428,86341
flo,0001128928,49031
flo,0001128928,88924
gwre,0001528396,13181
lite,0001633978,16329
lite,0001633978,85478
x,0001163302,76644
hli,0001302215,84778
post,0001530950,13188
cr,0000025445,15712
cr,0000025445,20204
medp,0001668397,80552
stag,0001479094,69877
stag,0001479094,12681
sm,0000893538,78170
exel,0000939767,88159
ida,0001057877,21928
tpx,0001206264,89971
stn,0001131383,79192
stn,0001131383,90850
osk,0000775158,90756
cx,0001076378,54017
cx,0001076378,69243
cx,0001076378,87204
lfus,0000889331,77918
ora,0001296445,90444
prgo,0001585364,77182
saic,0001571123,14141
trex,0001069878,79876
trex,0001069878,86810
fcn,0000887936,56450
fcn,0000887936,83509
slab,0001038074,68559
slab,0001038074,87812
penn,0000921738,80563
tmx,0001428875,76636
tmx,0001428875,75142
slgn,0000849869,84563
src,0001308606,80189
src,0001308606,13580
src,0001308606,14039
wwe,0001091907,61479
wwe,0001091907,87356
nyt,0000071691,47466
tol,0000794170,70228
adc,0000917251,80412
lhcg,0001303313,90734
cade,0001299939,20547
cade,0001299939,87843
nati,0000935494,81501
pri,0001475922,10241
pri,0001475922,93330
pri,0001475922,65701
amg,0001004434,85593
amc,0001411579,50526
amc,0001411579,13638
amc,0001411579,14328
glbe,0001835963,83137
mksi,0001049502,86778
vno,0000899689,28388
orcc,0001655888,86988
amn,0001142750,50091
ubsi,0000729986,11369
saia,0001177702,89506
m,0000794367,18550
m,0000794367,77462
wtfc,0001015328,84636
am,0001623925,13056
am,0001623925,13056
rli,0000084246,65294
hxl,0000717605,61567
sigi,0000230557,68292
swx,0001692115,61188
leg,0000058492,60943
vrt,0001674101,76255
tsem,0000928876,81013
tkr,0000098362,14795
bkh,0001130464,61946
thg,0000944695,82292
vly,0000714310,80072
asgn,0000890564,77917
bxmt,0001061630,62156
oled,0001005284,77610
oled,0001005284,90485
hp,0000046765,32707
sim,0000887153,14402
sim,0000887153,79442
ryn,0000052827,80210
ryn,0000052827,52062
expo,0000851520,76261
colm,0001050797,24890
colm,0001050797,85863
ensg,0001125376,92432
msa,0000066570,27035
msa,0000066570,75407
msa,0000066570,54253
mfa,0001055160,75377
mfa,0001055160,85935
asai,0001834048,15684
mtg,0000876437,76804
rog,0000084748,35991
rhp,0001040829,85426
lpx,0000060519,56223
dna,0001830214,38280
dna,0001830214,87031
ipgp,0001111928,91668
crk,0000023194,25478
crk,0000023194,48047
crk,0000023194,81296
crk,0000023194,11644
gds,0001526125,32256
srcl,0000861878,83906
exp,0000918646,65437
exp,0000918646,80415
exp,0000918646,89983
lanc,0000057515,48523
ivr,0001437071,92951
cytk,0001061983,90126
ryan,0001849253,68049
cmc,0000022444,30680
spwr,0000867773,90978
spwr,0000867773,92791
esi,0001590714,81128
axs,0001214816,89789
mrtx,0001576263,14054
crox,0001334036,91090
ufpi,0000912767,79878
eeft,0001029199,84606
slm,0001032033,66325
dv,0001819928,76708
novt,0001076930,57402
por,0000784977,17902
por,0000784977,91204
nycb,0000910073,79859
amkr,0001047127,86047
spsc,0001092699,93356
trno,0001476150,93261
phys,0001477049,81668
phys,0001477049,82736
aqua,0001604643,88886
cere,0001805387,13264
wts,0000795403,10606
hwc,0000750577,41160
val,0000314808,37807
wen,0000030697,19828
wen,0000030697,89818
wen,0000030697,63060
bak,0001071438,29487
wix,0001576789,82801
wix,0001576789,14326
staa,0000718937,72304
pltk,0001828016,79590
umbf,0000101382,78829
wbs,0000801337,10932
esnt,0001448893,14235
crus,0000772406,75603
seas,0001564902,13860
shc,0001822479,11141
msm,0001003078,82777
psn,0000275880,76603
den,0000945764,42526
aso,0001817358,62770
njr,0000356309,64450
dq,0001477641,12325
wb,0001595761,36469
wb,0001595761,50200
syna,0000817720,89290
athm,0001527636,14332
mq,0001522540,76697
cwst,0000911177,85464
shop,0001594805,90420
tho,0000730263,76081
seb,0000088121,36281
pinc,0001577916,14169
ab,0000825313,10188
ab,0000825313,75000
ab,0000825313,10071
ab,0000825313,75278
fti,0001681459,89004
rng,0001384905,14136
cig,0001157557,83819
cig,0001157557,92118
he,0000354707,41187
auy,0001264089,89976
wtm,0000776867,68419
cbt,0000016040,46690
kgc,0000701818,78395
kgc,0000701818,89692
irt,0001466085,53372
irt,0001466085,14071
wing,0001636222,93164
beam,0001745999,10225
beam,0001745999,11522
al,0001487712,24264
al,0001487712,12641
frsh,0001544522,12253
frsh,0001544522,10847
krg,0001286043,90307
bl,0001666134,34649
powi,0000833640,85710
bcpc,0000009326,10318
wns,0001356570,91390
pnm,0001108426,55511
cpg,0001545851,55482
cpg,0001545851,79778
sam,0000949870,69104
sam,0000949870,82634
ait,0000109563,65859
ait,0000109563,29612
vet,0001293135,47781
vet,0001293135,13820
coke,0000317540,11995
kex,0000056047,59045
iart,0000917520,82179
nsp,0001000753,84385
four,0001794669,37365
four,0001794669,84535
cnm,0001856525,30541
cnm,0001856525,10827
erf,0001126874,88818
r,0000085961,27633
r,0000085961,14912
kss,0000885639,77606
cuz,0000025232,51692
cuz,0000025232,27511
avt,0000008858,27684
box,0001372612,83980
box,0001372612,12342
awi,0000007431,91516
hae,0000313143,76837
man,0000871763,44978
man,0000871763,75285
bfam,0001437578,85276
bfam,0001437578,85531
bfam,0001437578,13739
fele,0000038725,37568
fl,0000850209,15456
umpq,0001077771,86004
amed,0000896262,12299
amed,0000896262,80795
fizz,0000069891,76839
woof,0001826470,77056
woof,0001826470,89213
ati,0001018963,47570
ati,0001018963,43123
ati,0001018963,80094
homb,0001331520,91356
fnb,0000037808,53858
fnb,0000037808,10629
mtsi,0001493594,11898
mtsi,0001493594,77710
mtsi,0001493594,13326
tfsl,0001381668,91968
act,0001823529,49947
act,0001823529,57955
act,0001823529,78916
alks,0001520262,76736
ncr,0000070866,19537
ncr,0000070866,84372
laz,0001311370,90701
pvh,0000078239,13936
sji,0000091928,26614
becn,0001124941,90353
fcfs,0000840489,76856
lpl,0001290109,90266
amrc,0001488139,13646
amrc,0001488139,10158
ptct,0001070081,13967
altr,0001701732,75577
ago,0001273813,90120
rdn,0000890926,78038
tndm,0001438133,14325
mms,0001032220,34438
mms,0001032220,10981
mms,0001032220,85067
esgr,0001363829,89500
esgr,0001363829,91818
flr,0001124198,26382
flr,0001124198,88853
fn,0001408710,23130
fn,0001408710,93427
abg,0001144980,84368
abg,0001144980,89327
alsn,0001411207,13284
gt,0000042582,16432
indb,0000776901,10252
dei,0001364250,59395
dei,0001364250,91519
arwr,0000879407,80069
igt,0001619762,45277
cnx,0001070412,59694
cnx,0001070412,10765
cnx,0001070412,86799
zim,0001654126,46826
lac,0001440972,38957
lac,0001440972,68013
hhc,0001498828,53719
hhc,0001498828,75068
hhc,0001498828,12373
golf,0001672013,91354
ccxi,0001340652,24600
ccxi,0001340652,13262
atco,0001794846,15473
foxf,0001424929,14097
evr,0001360901,84027
evr,0001360901,91413
calx,0001406666,93272
aple,0001418121,14569
ssd,0000920371,80575
fls,0000030625,30940
trip,0001526520,42518
trip,0001526520,79530
trip,0001526520,13168
fix,0001035983,85059
icui,0000883984,77447
tal,0001499620,39466
tal,0001499620,90940
sr,0001126956,72494
vc,0001111335,88319
zd,0001084048,85956
crc,0001609253,77521
ucbi,0000857855,89323
cvbf,0000354647,20395
doc,0001574540,22648
doc,0001574540,14036
doc,0001574540,87035
mli,0000089439,76573
mmyt,0001495153,12082
avnt,0001122976,11085
avnt,0001122976,81683
btg,0001429937,13978
qdel,0001906324,76591
bb,0001070235,47415
tv,0000912892,80089
pbf,0001534504,13730
tdc,0000816761,92293
ael,0001039828,89946
sem,0001320414,62738
sem,0001320414,85256
sem,0001320414,88972
sem,0001320414,93035
cns,0001284812,90303
brp,0001781755,89647
brp,0001781755,12718
sid,0001049659,85602
go,0001771515,21768
cbu,0000723188,86896
vnt,0001786842,84163
hr,0001360604,79233
lope,0001434588,92852
gps,0000039911,59010
mmsi,0000856982,76392
bku,0001504008,12515
sun,0001552275,14656
hri,0001364479,33988
smci,0001375365,84124
smci,0001375365,91907
chgg,0001364954,14273
sum,0001621563,61858
abcb,0000351569,80498
txmd,0000025743,13863
gsat,0001366868,91612
paas,0000771992,81734
pega,0001013857,83779
dy,0000067215,12008
onem,0001404123,86782
wsfs,0000828944,10892
caty,0000861842,76504
fhi,0001056288,75059
hasi,0001561894,13843
ful,0000039368,37875
banf,0000760498,79072
unf,0000717954,65306
pacw,0001102112,87407
pacw,0001102112,88343
rare,0001515673,77448
rare,0001515673,80472
cd,0001807192,44214
cpa,0001345105,23246
cpa,0001345105,76637
cpa,0001345105,91065
awr,0001056903,71475
cwk,0001628369,46607
boh,0000046195,16548
pfsi,0001745916,63176
pfsi,0001745916,13908
gef,0000043920,83264
gef,0000043920,83233
arlp,0001086600,87198
eqc,0000803649,70703
aeis,0000927003,82547
mnmd,0001813814,81882
pten,0000889900,79857
wd,0001497770,22429
wd,0001497770,12477
epr,0001045450,85604
tcbi,0001077428,89826
cwt,0001035201,20750
sxt,0000310142,59619
vsbc,0001697884,12276
neu,0001282637,42550
neu,0001282637,87284
sbra,0001492298,90092
nova,0001772695,87178
sfm,0001575515,14102
hiw,0000921082,80688
ale,0000066756,24248
ale,0000066756,12125
ppbi,0001028918,85020
abcl,0001703057,77764
nni,0001258602,89964
pch,0001338749,49744
sig,0000832988,24299
sig,0000832988,12076
slg,0001040971,56207
slg,0001040971,85265
kos,0001509991,12788
cri,0001060822,36150
cri,0001060822,89876
fold,0001178879,92040
bnl,0001424182,19377
aaon,0000824142,76868
sanm,0000897723,79108
hbi,0001359841,79544
hbi,0001359841,91416
we,0001813756,52900
we,0001813756,41005
kmpr,0000860748,76136
glng,0001207179,89618
cvi,0001376139,92326
kwr,0000081362,64929
fbp,0001057706,11018
diod,0000029002,44943
jbt,0001433660,92729
sky,0000090896,38850
nwe,0000073088,58406
nwe,0000073088,90458
nwe,0000073088,68590
smg,0000825542,77300
acad,0001070494,10584
acad,0001070494,90177
matx,0000003453,11691
matx,0000003453,77291
jwn,0000072333,57817
cort,0001088856,90125
ottr,0001466593,60098
pzza,0000901491,79299
aaww,0001135185,82157
aaww,0001135185,91262
bdc,0000913142,27721
bdc,0000913142,79668
ibtx,0001564618,13877
gpi,0001031203,32459
gpi,0001031203,85427
psec,0001287032,90291
eye,0001710155,38447
eye,0001710155,12265
eye,0001710155,89426
hi,0001417398,45620
hi,0001417398,60185
hi,0001417398,92597
nsit,0000932696,81220
insm,0001104506,88351
tmhc,0001562476,13862
smpl,0001702744,90085
nhi,0000877860,77057
ava,0000104918,24969
cvt,0001827075,14063
xrx,0001770450,27983
vicr,0000751978,76128
tcn,0001584425,50171
ofc,0000860546,42008
ofc,0000860546,77239
calm,0000016160,20598
onb,0000707179,12068
omab,0001378239,91617
spr,0001364885,36687
spr,0001364885,91594
tkc,0001071321,88411
agi,0001178819,13763
dbc,0001328237,61321
vsat,0000797721,84348
abm,0000771497,47730
jks,0001481513,93380
main,0001396440,51044
main,0001396440,76385
main,0001396440,92309
ghc,0000104889,49365
ghc,0000104889,48653
ghc,0000104889,53225
kfy,0000056679,86594
lxp,0000910108,79770
aca,0001739445,49891
aca,0001739445,68822
aca,0001739445,81914
btu,0001064728,44572
btu,0001064728,60054
btu,0001064728,88991
rmbs,0000917273,84827
bhc,0000885590,75945
env,0001337619,11370
cxm,0001569345,84521
ain,0000819793,11731
ugp,0001094972,87293
fsr,0001720990,53209
fsr,0001720990,91887
vsh,0000103730,57808
mgee,0001161728,50789
cnmd,0000816956,11547
iboc,0000315709,85875
nvmi,0001109345,88181
mth,0000833079,75342
bmi,0000009092,53110
crvl,0000874866,76721
sfnc,0000090498,91855
dorm,0000868780,76582
hele,0000916789,41452
mrcy,0001049521,85738
jjsf,0000785956,10026
mxl,0001288469,49023
mxl,0001288469,93289
wern,0000793074,82043
wern,0000793074,10397
iq,0001722608,16336
iq,0001722608,68428
aciw,0000935036,81282
hlf,0001180262,11490
hlf,0001180262,85694
hlf,0001180262,90516
fult,0000700564,88197
ens,0001289308,90249
fro,0000913290,26737
fro,0000913290,79844
fro,0000913290,89139
bco,0000078890,38527
bco,0000078890,18649
ypf,0000904851,79362
stng,0001483934,93299
ggal,0001114700,88442
hubg,0000940942,83272
meoh,0000886977,77735
fibk,0000860413,93304
fwrd,0000912728,79841
fate,0001434316,14245
wdfc,0000105132,81294
pdco,0000891024,11247
pdco,0000891024,78034
cbrl,0001067294,27562
jblu,0001158463,89353
yelp,0001345016,13318
wor,0000108516,65269
wor,0000108516,83601
open,0001801169,90692
open,0001801169,76683
open,0001801169,81573
open,0001801169,89917
open,0001801169,92934
pbh,0001295947,90564
klic,0000056978,48144
ccoi,0001158324,89297
dkl,0001552797,13681
si,0001312109,63351
si,0001312109,88935
plxs,0000785786,10032
whd,0001699136,47933
rusha,0001012019,83690
rusha,0001012019,89455
save,0001498710,81663
save,0001498710,12796
cpe,0000928022,78691
cpe,0000928022,80926
fun,0000811532,75041
nog,0001104485,92601
ozon,0001822829,80350
inmd,0001742692,77982
pagp,0001581990,14215
ifs,0001615903,51975
ifs,0001615903,79701
ifs,0001615903,86345
ifs,0001615903,90165
nuva,0001142596,90188
ibp,0001580905,46252
ibp,0001580905,75227
sage,0001597553,68524
sage,0001597553,82845
mgpi,0000835011,12226
kw,0001408100,77838
kw,0001408100,92502
vrnt,0001166388,89397
tac,0001144800,89068
simo,0001329394,90744
nvax,0001000694,82779
stem,0001758766,77437
unfi,0001020859,84275
ths,0001320695,81922
ths,0001320695,90775
blkb,0001280058,90276
sho,0001295810,53399
sho,0001295810,82217
sho,0001295810,90394
sho,0001295810,86137
ipar,0000822663,11884
mstr,0001050446,51861
mstr,0001050446,77534
mstr,0001050446,86211
arry,0001820721,88790
ax,0001299709,12811
ax,0001299709,21127
evtc,0001559865,78146
evtc,0001559865,13837
ntct,0001078075,87179
kbh,0000795266,70092
kbh,0000795266,77459
csiq,0001375877,91607
wire,0000850460,77785
pcrx,0001396814,12583
comm,0001517228,25401
comm,0001517228,14239
amba,0001280263,13634
colb,0000887343,77679
cert,0001827090,88245
rrr,0001653653,80271
rrr,0001653653,92018
iba,0001044896,85337
fss,0000277509,47706
shoo,0000913241,80034
aimc,0001374535,91658
manu,0001549107,79505
manu,0001549107,13547
cno,0001224608,86976
cno,0001224608,89841
clbk,0001723596,79682
avav,0001368622,91733
tex,0000097216,58318
tex,0000097216,37305
usm,0000821130,75320
pi,0001114995,66034
pi,0001114995,54359
cvlt,0001169561,91463
bcc,0001328581,13766
lfg,0001823766,67635
peb,0001474098,93178
gbdc,0001476765,93352
bcrx,0000882796,80306
tr,0000098677,14816
navi,0001593538,66325
navi,0001593538,87333
navi,0001593538,87333
ttec,0001013880,83916
trn,0000099780,55001
brfs,0001122491,88673
cbz,0000944148,81584
cbz,0000944148,82565
cbz,0000944148,86350
wsbc,0000203596,11293
brc,0000746598,57971
brc,0000746598,18973
brc,0000746598,76499
cpk,0000019745,23182
cpk,0000019745,56709
sabr,0001597033,80475
abr,0001253986,69921
abr,0001253986,90102
itri,0000780571,79839
bldp,0001453015,82555
prmw,0000884713,12402
frme,0000712534,75605
ihs,0001876183,90992
zip,0001617553,12700
prft,0001085869,87086
fa,0001210677,40387
gme,0001326380,89301
oi,0000812074,13661
oi,0000812074,77157
scl,0000094049,36898
hcm,0001648257,85909
orc,0001518621,13775
yy,0001530238,13701
iosp,0001054905,86026
ken,0001611005,78165
rig,0001451505,79237
trox,0001530804,91012
trox,0001530804,13452
pd,0001568100,17806
atrc,0001323885,15676
atrc,0001323885,83843
atrc,0001323885,90856
joe,0000745308,76123
elf,0001600033,76674
sblk,0001386716,83873
sblk,0001386716,88866
sblk,0001386716,91121
sblk,0001386716,92470
laur,0000912766,48900
laur,0000912766,92209
laur,0000912766,80037
laur,0000912766,76380
dan,0000026780,11607
dan,0000026780,92570
dan,0000026780,49285
prk,0000805676,76266
payo,0001845815,61605
hth,0001265131,90037
ne,0001458891,90537
apam,0001517302,13802
form,0001039399,37373
form,0001039399,89753
banr,0000946673,82575
urbn,0000912615,79881
hl,0000719413,32651
mgrc,0000752714,89915
smtc,0000088941,50948
sstk,0001549346,13625
itgr,0001114483,80756
acls,0001113232,88417
safe,0001688852,11138
safe,0001688852,78106
nvee,0001532961,14166
lgih,0001580670,14317
ffbc,0000708955,35685
mdrx,0001124804,87078
mdrx,0001124804,87078
wafd,0000936528,81577
esba,0001553079,14194
spb,0000109177,85625
spb,0000109177,93295
ese,0000866706,76478
rlj,0001511337,12756
gpor,0000874499,91128
lz,0001286139,43721
mdc,0000773141,66245
mdc,0000773141,34024
ster,0001645070,80696
ster,0001645070,85318
hpp,0001482512,93419
kai,0000886346,78077
trmk,0000036146,35263
sg,0001477815,36337
sg,0001477815,77192
sg,0001477815,79526
six,0000701374,40870
six,0000701374,76209
six,0000701374,93423
dk,0001694426,83595
dk,0001694426,91215
ag,0001308648,12447
lkfn,0000721994,85299
sono,0001314727,86003
icfi,0001362004,91468
fbc,0001033012,64952
fbc,0001033012,84734
wmk,0000105418,42059
gnw,0001276520,90162
atsg,0000894081,90716
thrm,0000903129,79248
sjw,0000766829,54199
arch,0001037676,79760
arch,0001037676,14825
rely,0001782170,15086
rely,0001782170,80496
teo,0000932470,81133
ccu,0000888746,77928
wgo,0000107687,51086
hep,0001283140,90253
mtx,0000891014,59387
mtx,0000891014,78015
asz,0001839191,42905
asz,0001839191,76596
boot,0001610250,80434
mac,0000912242,45743
mac,0000912242,65007
mac,0000912242,80399
sah,0001043509,75184
sah,0001043509,85627
erj,0001355444,88392
fbk,0001649749,87836
roic,0001407623,92343
prgs,0000876167,64398
prgs,0000876167,76752
arcb,0000894405,77595
drh,0001298946,90680
pl,0001836833,64486
pl,0001836833,76560
psmt,0001041803,85394
mcy,0000064996,52936
ceqp,0001136352,90737
ceqp,0001136352,89043
pax,0001825570,92502
cvco,0000278166,21806
cvco,0000278166,89792
crct,0001828962,27992
webr,0001857951,81809
kmt,0000055242,44134
omi,0000075252,60186
htlf,0000920112,89736
enr,0001632790,59002
enr,0001632790,79084
enr,0001632790,87659
npo,0001164863,89406
fg,0001934850,50956
odp,0000800240,75573
sbcf,0000730708,69586
rnst,0000715072,77526
supn,0001356576,13410
agio,0001439222,14044
blmn,0001546417,13548
gff,0000050725,46463
nus,0001021561,84172
cim,0001409493,92385
sitm,0001451809,75643
sitm,0001451809,84829
evt,0001253327,55386
sybt,0000835324,79013
aeo,0000919012,80432
play,0001525769,10857
play,0001525769,90459
ampl,0001866692,64864
frpt,0001611647,91735
bur,0001714174,13038
nmih,0001547903,14318
pfs,0001178970,89653
tds,0001051512,63773
tds,0001051512,90655
irwd,0001446847,93264
sasr,0000824410,83414
gtn,0000043196,39731
gtn,0000043196,83989
efsc,0001025835,90591
nwbi,0001471265,81095
trmd,0001655891,89356
door,0000893691,14177
krys,0001711279,77601
ttgt,0001293282,92052
crs,0000017843,20618
csgs,0001005757,83124
jack,0000807882,71933
jack,0000807882,77453
tph,0001561680,13748
tph,0001561680,77079
gpre,0001309402,91161
gpre,0001309402,91161
usac,0001522727,77593
usac,0001522727,13749
algt,0001362468,91659
neog,0000711377,75976
hain,0000910406,80167
cake,0000887596,77902
rcii,0000933036,77664
rcii,0000933036,81222
crto,0001576427,11277
crto,0001576427,14240
mygn,0000899923,82508
hope,0001128361,11915
cstm,0001563411,85220
cstm,0001563411,13917
cstm,0001563411,77096
ns,0001110805,88960
apps,0000317788,84432
extr,0001078271,86822
lrn,0001157408,92493
nac,0001074952,16803
nac,0001074952,77777
mwa,0001350593,91234
mwa,0001350593,91639
cvii,0001828248,12003
nbtb,0000790359,77415
wre,0000104894,52425
ltc,0000887905,77878
lnn,0000836157,12211
xncr,0001326732,14359
int,0000789460,60505
int,0000789460,75070
bke,0000885245,19394
bke,0000885245,77584
cnk,0001385280,91915
mrtn,0000799167,75517
two,0001465740,93070
angi,0001705110,13106
res,0000742278,20175
res,0000742278,66683
aat,0001500217,12513
sbgi,0000912752,81740
mtrn,0001104657,55597
dct,0001160951,91635
htgc,0001280784,90731
gab,0000794685,46551
get,0001867325,19414
get,0001867325,77062
get,0001867325,85426
stra,0001013934,83799
b,0000009984,39693
imkta,0000050493,11701
mir,0001809987,60441
mir,0001809987,34227
rfp,0001393066,66130
rfp,0001393066,12437
rfp,0001393066,80425
kar,0001395942,77510
kar,0001395942,90197
kar,0001395942,93174
msex,0000066004,53859
cyrx,0001124524,79377
irbt,0001159167,90971
arco,0001508478,12684
ari,0001467760,84015
ari,0001467760,93014
silk,0001397702,11940
silk,0001397702,86918
sbh,0001368458,75648
sbh,0001368458,91683
bvn,0001013131,51422
bvn,0001013131,83445
ten,0001024725,26542
ten,0001024725,84375
fcel,0000886128,77699
ptn,0000911216,35537
ptn,0000911216,79702
ptn,0000911216,85436
ai,0001577526,85653
praa,0001185348,89574
skt,0000899715,53276
skt,0000899715,79238
prm,0001880319,82640
mux,0000314203,70704
alg,0000897077,78950
ttmi,0001116942,88648
www,0000110471,42286
me,0001804591,41865
me,0001804591,91116
md,0000893949,26729
md,0000893949,82272
lgnd,0000886163,78081
egbn,0001050441,87318
oxm,0000075288,34948
swtx,0001773427,11393
bgcp,0001094831,87487
ktos,0001069258,87430
myrg,0000700923,92782
road,0001718227,82843
hmn,0000850141,55650
hmn,0000850141,67950
hmn,0000850141,77120
mnro,0000876427,76750
ecpg,0001084961,87077
pdm,0001042776,43588
pdm,0001042776,93251
mmi,0001578732,41910
mmi,0001578732,14213
mmi,0001578732,79337
mmi,0001578732,12456
osis,0001039065,85488
nwn,0001733998,58334
ccs,0001576940,82771
pay,0001841156,54949
pay,0001841156,77372
pay,0001841156,90657
hcc,0001691303,41128
hcc,0001691303,78033
tgh,0001413159,84396
tgh,0001413159,92379
wabc,0000311094,82107
sats,0001415404,92469
dht,0001331284,90943
lxu,0000060714,49488
pacb,0001299130,12360
sfl,0001289877,87130
sfl,0001289877,90219
adus,0001468328,93073
ng,0001173420,89965
schl,0000866729,77354
cgc,0001737927,56952
cgc,0001737927,49016
cgc,0001737927,93238
forty,0001045986,85467
erii,0001421517,92753
hurn,0001289848,90409
th,0001712189,79424
eaf,0000931148,31659
amk,0001591587,69200
gel,0001022321,59870
gel,0001022321,84167
ptnr,0001096691,87339
bhlb,0001108134,88280
mei,0000065270,12933
mei,0000065270,53189
mei,0000065270,53197
cldx,0000744218,10258
air,0000001750,54594
vgr,0000059440,75233
vgr,0000059440,76640
vrts,0000883237,77457
vrts,0000883237,82648
vrts,0000883237,92871
vrts,0000883237,80055
pam,0001469395,50892
pam,0001469395,76286
pam,0001469395,93067
med,0000910329,59088
med,0000910329,80054
dawn,0001845337,76337
pmt,0001464423,92976
cprx,0001369568,77975
cprx,0001369568,91606
tcbk,0000356171,79116
opk,0000944809,82567
amph,0001297184,13603
prta,0001559053,13706
vivo,0000794172,10530
bdn,0000790816,54826
bdn,0000790816,70121
idcc,0001405495,45306
vcyt,0001384101,14263
clne,0001368265,92035
dvax,0001029142,90029
ramp,0000733269,86994
cts,0000026058,28564
pdo,0001798618,64822
dac,0001369241,60919
dac,0001369241,91560
mlnk,0001834494,80114
kro,0001257640,55714
kro,0001257640,89960
cwh,0001669779,70703
aiv,0000922864,80711
gty,0001052752,62367
clfd,0000796505,10547
swi,0001739942,57429
swi,0001739942,92931
uan,0001425292,12644
gogo,0001537054,75671
gogo,0001537054,13956
ofg,0001030469,11208
px,0001841968,77768
cmp,0001227654,60265
cmp,0001227654,89952
tbbk,0001295401,90490
akr,0000899629,79235
frg,0001528930,55730
frg,0001528930,90757
fbnc,0000811589,11285
rock,0000912562,67361
rock,0000912562,79862
stc,0000094344,72980
hmy,0001023514,84083
cmre,0001503584,12391
sos,0001346610,76213
eat,0000703351,23297
codi,0001345126,25858
codi,0001345126,91271
clmt,0001340122,83743
clmt,0001340122,91076
hni,0000048287,42439
meg,0001643615,50972
meg,0001643615,50972
cohu,0000021535,30648
chef,0001517175,22948
chef,0001517175,12913
neo,0001077183,13704
kfrc,0000930420,82212
buse,0000314489,86382
chco,0000726854,11442
saft,0001172052,79107
saft,0001172052,89575
lc,0001409970,47802
gva,0000861459,76135
bgs,0001278027,50673
bgs,0001278027,91977
din,0000049754,68371
din,0000049754,76732
hrt,0001859285,32571
hrt,0001859285,76544
fcf,0000712537,27297
fcf,0000712537,77643
alex,0001545654,13429
gsm,0001639877,53647
gsm,0001639877,92983
atax,0001059142,92726
dcom,0000846617,29947
dcom,0000846617,83815
tmci,0001630627,92260
cint,0001868995,53460
cffn,0001490906,86820
esrt,0001541401,14196
aac,0001829432,38877
aac,0001829432,77297
aac,0001829432,88278
ebs,0001367644,91571
nmfc,0001496099,12747
kn,0001587523,12706
uctt,0001275014,90097
lpro,0001806201,75474
gdyn,0001743725,88357
taro,0000906338,78447
vre,0000924901,62471
sbsi,0000705432,86091
cls,0001030894,49963
cls,0001030894,86115
uvv,0000102037,16555
dgii,0000854775,75831
pgti,0001354327,91363
ssp,0000832428,11936
ssp,0000832428,84176
ocfc,0001004702,83774
lpi,0001528129,13124
sand,0001434614,10160
sand,0001434614,13545
stba,0000719220,77528
mag,0001230992,68531
mag,0001230992,75596
bfly,0001804176,85204
mcg,0001846510,40782
mcg,0001846510,79761
plus,0001022408,84234
srce,0000034782,36346
imgn,0000855654,75860
holi,0001357450,92769
tgs,0000931427,81067
ddd,0000910638,78664
usna,0000896264,84010
enta,0001177648,13825
kalu,0000811596,76758
kalu,0000811596,91403
nbhc,0001475841,13579
fdp,0001047340,85449
ostk,0001130713,89394
alx,0000003499,49330
nxgn,0000708818,81633
amrs,0001365916,77852
amrs,0001365916,12307
swir,0001111863,88266
sbr,0000710752,64805
cxw,0001070985,85234
agys,0000078749,63125
zntl,0001725160,93287
hlit,0000851310,81621
htld,0000799233,10812
rxt,0001810019,79418
mcri,0000907242,79507
patk,0000076605,61496
modn,0001118417,13816
tnc,0000097134,75460
posh,0001825480,90826
azul,0001432364,10441
agm,0000845877,24555
agm,0000845877,80169
agm,0000845877,80168
hees,0001339605,91080
mho,0000799292,10723
mho,0000799292,79909
spns,0000885740,72179
spns,0000885740,78759
ccrn,0001141103,89167
trs,0000842633,75449
trs,0000842633,92029
tmp,0001005817,10308
nssc,0000069633,55993
lmat,0001158895,91503
ffwm,0001413837,77328
gdot,0001386278,11664
pra,0001127703,44636
pra,0001127703,76838
camt,0001109138,88427
indi,0001841925,11569
slp,0001023459,68697
slp,0001023459,85040
stkl,0000351834,78418
morf,0001679363,55133
hbm,0001322422,12332
rdnt,0000790526,76672
oflx,0001317945,90868
atri,0000701288,11587
ande,0000821026,83112
svc,0000945394,72961
banc,0001169770,89482
nbr,0001163739,29102
lzb,0000057131,48347
scs,0001050825,49939
scs,0001050825,85796
cubi,0001488813,13921
avid,0000896841,78955
rdwr,0001094366,87251
ryi,0001481582,12458
csr,0000798359,23851
csr,0000798359,92328
prlb,0001443669,13249
sptn,0000877422,88568
dmlp,0001172358,30534
dmlp,0001172358,89695
nhc,0001047335,56435
nhc,0001047335,72338
gic,0000945114,23253
gic,0000945114,77644
infn,0001138639,44170
infn,0001138639,83964
infn,0001138639,84091
infn,0001138639,92095
dnn,0001063259,91928
tdw,0000098222,50606
sph,0001005210,82860
nymt,0001273685,90214
cown,0001466538,91398
cown,0001466538,93128
uuuu,0001385849,14336
dm,0001754820,11690
dm,0001754820,77388
dm,0001754820,92243
prim,0001361538,76580
